region,hospital_name,city,neighborhood,ownership,level,specialties,opening_hours,website_or_page,latitude,longitude,map_link,source
Littoral,Douala General Hospital,Douala,Beedi / General,Public,General (1st Category),"['Cardiovascular Surgery','Neurosurgery','Oncology','Pediatrics','Orthopedics','Emergency','ICU','Hypertension','renal failure','dialysis services']",24/7,https://leoxn.com/top-hospitals-in-cameroon/,4.06479,9.75848,"https://www.google.com/maps/search/4.06479,9.75848",Leoxn Top Hospitals Cameroon
Littoral,Hôpital Laquintinie,Douala,Akwa,Public,Regional Referral,"['Obstetrics & Gynecology','Infectious Diseases','Surgery','Internal Medicine','Neonatology','Cancer']",24/7,https://fr.wikipedia.org/wiki/H%C3%B4pital_Laquintinie,4.04837,9.70341,"https://www.google.com/maps/place/4.04837,9.70341",Wikipedia – Hôpital Laquintinie
Littoral,Hôpital Général de Douala (HGD),Douala,Beedi,Public,Academic General,"['Medicine','Rhuematology','Cardiology','Neurology','Pneumology','Gastroenterology','Endocrinology','Dermatology','Psychiatry','Surgery (general orthopedic neuro ENT ophthalmology)','Hemodialysis','Pediatrics','Obstetrics/Gynecology','Oncology','Radiotherapy','Imaging (CT MRI)','Lab','Blood bank','Pharmacy']",Visits Mon–Sat 10-12 14-16; Emergency/ICU 24/7,https://ledocta.com/annuaire/hopital-general-de-douala,4.05,9.75,https://www.google.com/maps/search/H%C3%B4pital+G%C3%A9n%C3%A9ral+de+Douala,LeDocta info page
Littoral,Hôpital Gynéco-Obstétrique & Pédiatrique de Douala (HGOPED),Douala,Douala 3e,Public,Specialized (Mother+Child),"['Obstetrics','Gynecology','Pediatrics','Neonatology','Maternal & Child Health']",24/7,https://fr.wikipedia.org/wiki/H%C3%B4pital_gyn%C3%A9co-obst%C3%A9trique_et_p%C3%A9diatrique_de_Douala,4.04,9.72778,https://www.google.com/maps/search/HGOPED,Wikipedia – HGOPED
Littoral,Mboppi Baptist Hospital (MBHD),Douala,Behind Gendarmerie Mboppi,Private (Mission),Major Clinic,"['Cardiology','ENT','Dermatology','Ophthalmology','Pediatric Surgery','Urology','Pediatrics','Dental','Maternity','Lab','Operating Theatre','Neonatal ICU']",24/7,https://cbchealthservices.org/hospitals/mboppi-baptist-hospital/,4.04452,9.76347,https://www.google.com/maps/search/Mboppi+Baptist+Hospital,CBCHS official site
Littoral,Hôpital de Deido,Douala,Deido,Public,District,"['General medicine','Maternity','Pediatrics','Emergency','Dermotology','hepatology','liver diseases']",Mon–Fri 8–17; Emergency 24/7,https://www.openstreetmap.org/search?query=H%C3%B4pital+de+Deido%2C+Douala,4.048,9.7014,https://www.openstreetmap.org/?mlat=4.0480&mlon=9.7014,OpenStreetMap facility listing
Littoral,Hôpital Nylon,Douala,Nylon,Public,District,"['General medicine','Cardiology','Pediatrics','Emergency','Hypertension']",Mon–Fri 8–17; Emergency on-call,https://www.openstreetmap.org/search?query=H%C3%B4pital+de+Nylon%2C+Douala,4.0891,9.739,https://www.openstreetmap.org/?mlat=4.0891&mlon=9.7390,OpenStreetMap facility listing
Littoral,Hôpital de la Cité des Palmiers,Douala,Cité des Palmiers,Public,District,"['Gynecology','Internal Medicine', 'Ophthalmology','Orthopedics','Oncology','Surgery', 'Pediatrics','Dental','Physiotherapy', 'Diabetes']",Mon–Fri 8–17; Emergency on-call,https://www.openstreetmap.org/search?query=H%C3%B4pital+de+la+Cité+des+Palmiers%2C+Douala,4.0573,9.7654,https://www.openstreetmap.org/?mlat=4.0573&mlon=9.7654,OpenStreetMap facility listing
Littoral,Centre National de la Sclérose en Plaques,Douala,Bonamoussadi,Public,Regional,"['neurology','autoimmune diseases','hepatology','liver diseases']",8h-16h,"https://www.polycliniquearchange.com/index.php/nos-services/neurologie#:~:text=peuvent%20le%20toucher..-,La%20neurologie%20est%20la%20sp%C3%A9cialit%C3%A9%20consacr%C3%A9e%20%C3%A0%20l'%C3%A9tude%20de,aussi%20du%20ressort%20du%20neurologue.",4.01208,9.762,https://maps.app.goo.gl/q8fD4tgDXBERqW2R7,Google Maps
Littoral,Logbaba District Hospital,Douala,Logbaba,Public,District,"['neurology','movement disorders','endocrinology']",Mon–Fri 8–17; Emergency on-call,https://www.openstreetmap.org/search?query=H%C3%B4pital+de+Logbaba%2C+Douala,4.046,9.771,https://www.openstreetmap.org/?mlat=4.0460&mlon=9.7710,OpenStreetMap facility listing
